"Tingle, Tim",Title,Call_Number,Cumu_Circ,Last_Circ_Date,Weed,Date,weed_for_condition,Author_Cultural_Identity,BH_Source_Note_Score,Tier_Score,Country,Region,Source,Award,Fiction_NonFiction,Explore
"San Souci, Daniel",In the moonlight mist : a Korean tale /,J 398.20951 K841SAI,28,,,1999,,,1,3,Korea,Asia,,,NonFiction,1
"Bodkin, Odds",The crane wife /,J 398.20952 J271boc 1998,25,4/10/2023,,1998,,,1,1,Japan,Asia,,,NonFiction,1
"Manley, Curtis",The crane girl : based on Japanese folktales /,J 398.20952 J271MANC,7,8/3/2022,,2017,,,c/o,2,Japan,Asia,,,NonFiction,1
"Martin, Rafe, 1946-",Mysterious tales of Japan /,J 398.20952 J271MARM,49,8/3/2022,,1996,,,c/o,5,Japan,Asia,,,NonFiction,1
"McDermott, Gerald",The stonecutter : a Japanese folk tale /,J 398.20952 J271MCDS,22,8/3/2022,,1975,,,c/o,1,Japan,Asia,,,NonFiction,1
"Sierra, Judy",Tasty baby belly buttons  /,J 398.20952 J271SIT,21,10/26/2022,,1999,,,c/o,2,Japan,Asia,,,NonFiction,1
"Snyder, Dianne",The boy of the three-year nap /,J 398.20952 J271SNB,30,5/27/2023,,1988,,,c/o,3,Japan,Asia,,Caldecott,NonFiction,1
"Bash, Barbara",In the heart of the village : the world of the Indian Banyan tree /,J 398.20954 IN2BASI,102,10/31/2022,,1996,,,2,2,India,Asia,,,NonFiction,1
"Brucker, Meredith Babeaux",Anklet for a princess : a Cinderella story from India /,J 398.20954 IN2BRA,44,4/10/2023,,2002,,,1,4,India,Asia,,,NonFiction,1
Demi,One grain of rice : a mathematical folktale /,J 398.20954 IN2DEO,44,9/11/2023,,,,,1,2,India,Asia,,,NonFiction,1
"Divakaruni, Chitra Banerjee, 1956-",Grandma and the great gourd : a Bengali folk tale /,J 398.20954 IN2DI,27,4/22/2023,,2013,,x,1,5,India,Asia,,,NonFiction,1
"Hamilton, Martha",The ghost catcher : a Bengali folktale /,J 398.20954 IN2HAMG,17,8/3/2022,,2008,,,2,2,India,Asia,,,NonFiction,1
"Newton, Patricia Montgomery",The stonecutter : an Indian folktale /,J 398.20954 IN2NES,87,9/30/2022,,1990,,,1,1,India,Asia,,,NonFiction,1
"Shepard, Aaron",The gifts of Wali Dad : a tale of India and Pakistan /,J 398.20954 IN2SHEG,116,8/8/2022,,1995,,,2,2,India,Asia,,,NonFiction,1
"So, Meilo","Gobble, gobble, slip, slop : a tale of a very greedy cat /",J 398.20954 IN2SOG,17,8/3/2022,,2004,,,2,2,India,Asia,,,NonFiction,1
"Soundar, Chitra",Pattan's pumpkin : a traditional flood story from southern India /,J 398.20954 In2sop 2017,7,12/6/2022,,2017,,x,3,5,India,Asia,,,NonFiction,1
"Soundar, Chitra",A sliver of moon and a shard of truth : stories from India /,J 398.20954 In2sos 2022,8,45157,,2022,,x,1,5,India,Asia,,,NonFiction,1
"Wolf, Gita",The very hungry lion : a folktale /,J 398.20954 IN2WOV,45,7/18/2023,,1996,,,1,1,India,Asia,,,NonFiction,1
"DePaola, Tomie, 1934-2020",The legend of the persian carpet /,J 398.20955 IR1DEL,56,7/10/2023,,1993,,,1,1,Mid East,Middle East,,,NonFiction,1
"Hofmeyr, Dianne",The stone : a Persian legend of the Magi /,J 398.20955 IR1HOS,24,8/2/2022,,1998,,,2,1,Mid East,Middle East,,,NonFiction,1
"Tarnowska, Wafa'",The seven wise princesses : a medieval Persian epic /,J 398.20955 IR1TAS,59,7/25/2023,,2000,,x,4,5,Mid East,Middle East,,,NonFiction,1
"Zeman, Ludmila",Gilgamesh the king /,J 398.20956 Ir1zeg 1998,12,8/12/2023,,1998,,,3,2,Mid East,Middle East,,,NonFiction,1
"Zeman, Ludmila",The last quest of Gilgamesh /,J 398.20956 Ir1zel 1998,9,9/20/2022,,1998,,,3,2,Mid East,Middle East,,,NonFiction,1
"Zeman, Ludmila",The revenge of Ishtar /,J 398.20956 Ir1zer 1993,11,8/14/2023,,1993,,,3,2,Mid East,Middle East,,,NonFiction,1
Shahrukh Husain,The wise fool : fables from the Islamic world /,J 398.20956 M584SHW,14,8/4/2023,,2011,,x,2,5,Mid East,Middle East,,,NonFiction,1
"Young, Ed",What about me? /,J 398.20956 M584YOW,6,8/2/2022,,2002,,,1,1,Mid East,Middle East,,,NonFiction,1
Demi,The hungry coat : a tale from Turkey /,J 398.20956 T847DEMH,36,7/22/2023,,2004,,,,,Turkey,Asia,,,NonFiction,1
"Johnson-Davies, Denys",Goha the wise fool /,J 398.20956 T847JOG,21,8/2/2022,,2005,,,0,3,Mid East,Middle East,,,NonFiction,1
"MacDonald, Margaret Read, 1940-","Go to sleep, Gecko! : a Balinese folktale /",J 398.20959 IN2MAG,22,2/27/2023,,2006,,,3,2,Bali,Oceana,,,NonFiction,1
"Garland, Sherry",Why ducks sleep on one leg /,J 398.20959 V678GAW,15,8/2/2022,,1993,,,1,1,Vietnam,Asia,,,NonFiction,1
"Shepard, Aaron",The crystal heart : a Vietnamese legend /,J 398.20959 V678SHC,23,8/2/2022,,1998,,,2,2,Vietnam,Asia,,,NonFiction,1
"Aardema, Verna",Rabbit makes a monkey of lion : a Swahili tale /,J 398.2096 AF83AAR,22,5/1/2023,,1989,,,,1,Africa,Africa,,,NonFiction,1
"Bryan, Ashley","Ashley Bryan's African tales, uh-huh /",J 398.2096 AF83BRAT,35,5/22/2023,,1998,,,2,5,Africa,Africa,,,NonFiction,1
"Daly, Niki",Pretty Salma : a Little Red Riding Hood story from Africa /,J 398.2096 Af83dalp 2007,13,45070,,2007,,x,1,5,Ghana,Africa,,,NonFiction,1
"Dayrell, Elphinstone, 1869-1917",Why the sun and the moon live in the sky : an African folktale /,J 398.2096 Af83daw 1968,21,2/1/2023,,1968,,x,1,5,Africa,Africa,,Caldecott,NonFiction,1
"Lester, Julius, 1939-2018",How many spots does a leopard have? : and other tales /,J 398.2096 AF83LEH,18,1/25/2023,,1989,,,4,2,Africa,Africa,,,NonFiction,1
"Naidoo, Beverley",Who is king? : ten magical stories from Africa /,J 398.2096 AF83NAW,7,8/2/2022,,2015,,x,4,5,Africa,Africa,,,NonFiction,1
"White, Carolyn, 1948-",The tree house children : an African tale /,J 398.2096 AF83WHT,8,11/18/2022,,1994,,,0,1,Africa,Africa,,,NonFiction,1
"Climo, Shirley",The Egyptian Cinderella /,J 398.20962 EG98CLE,72,3/25/2023,,1989,,,1,2,Egypt,Africa,,,NonFiction,1
"Day, Nancy Raines",The lion's whiskers : an Ethiopian folktale /,J 398.20963 ET37DAL,36,2/1/2023,,1995,,,1,2,Ethiopia,Africa,,,NonFiction,1
"Kurtz, Jane",Fire on the mountain /,J 398.20963 ET37KUF,30,8/2/2022,,1994,,x,1,5,Africa,Africa,,,NonFiction,1
"Badoe, Adwoa",The pot of wisdom : Ananse stories /,J 398.20966 G341BAP,32,5/22/2023,,2001,,x,2,5,Ghana,Africa,,,NonFiction,1
"Berry, James, 1924-2017",Don't leave an elephant to go and chase a bird /,J 398.20966 G341BED,21,8/2/2022,,1996,,,4,2,Multiple: Ghana/Carribean,Africa,,,NonFiction,1
"Cummings, Pat",Ananse and the lizard : a West African tale /,J 398.20966 G341CUA,36,10/6/2022,,2002,,,1,2,Ghana,Africa,,,NonFiction,1
"Mollel, Tololwa M.",Ananse's feast : an Ashanti tale /,J 398.20966 G341MOA,34,8/2/2022,,1997,,x,1,5,Ghana,Africa,,,NonFiction,1
"Musgrove, Margaret",The spider weaver : a legend of kente cloth /,J 398.20966 G341MUS,46,6/13/2023,,2001,,,1,2,Ghana,Africa,,,NonFiction,1
"Paye, Won-Ldy","Head, body, legs : a story from Liberia /",J 398.20966 L615PAH,18,11/4/2022,,2002,,x,1,5,Liberia,Africa,,,NonFiction,1
"DiakiteÃÅ, Baba WagueÃÅ",The hatseller and the monkeys : a West African folktale /,J 398.20966 M294DIH,33,3/27/2023,,1999,,x,1,5,Mali,Africa,,,NonFiction,1
"DiakiteÃÅ, Baba WagueÃÅ",The magic gourd /,J 398.20966 M294DIM,25,8/2/2022,,2003,,x,1,5,Mali,Africa,,,NonFiction,1
"Mollel, Tololwa M.",The flying tortoise : an Igbo tale /,J 398.20966 N5615MOF,16,8/2/2022,,1994,,x,1,5,Nigeria,Africa,,,NonFiction,1
"Courlander, Harold, 1908-1996",The cow-tail switch and other West African stories /,J 398.20966 W52COC,22,8/2/2022,,2008,,,3,2,Africa,Africa,,Newbery,NonFiction,1
"Medearis, Angela Shelf, 1956-",The singing man : adapted from a West African folktale /,J 398.20966 W52MES,19,1/25/2023,,1994,,,1,5,Nigeria,Africa,,,NonFiction,1
"Paye, Won-Ldy",The talking vegetables /,J 398.20966 W52PAT,19,8/2/2022,,2006,,x,1,5,Liberia,Africa,,,NonFiction,1
"Aardema, Verna",How the ostrich got a long neck /,J 398.20967 K422AAH,35,3/5/2023,,1995,,,2,1,Kenya,Africa,,,NonFiction,1
"Mollel, Tololwa M.",Song bird /,J 398.20967 T159MOSB,18,8/31/2022,,1991,,x,1,5,Africa,Africa,,,NonFiction,1
"Bryan, Ashley",Beautiful blackbird /,J 398.20968 N151BRB,37,9/7/2022,x,2003,x,x,,5,Zambia,Africa,,,NonFiction,1
"Aardema, Verna",This for that : a Tonga tale /,J 398.20968 Z14AAT,29,8/23/2022,,1997,,,2,1,Tonga,Africa,,,NonFiction,1
"Jorisch, Stephane",As for the Princess,J 398.20971 Q3joa 2001,8,1/2/2023,,2001,,x,,5,Quebec,North America,,,NonFiction,1
"Moreton, Daniel",La Cucaracha Martina : a Caribbean folktale /,J 398.20972 C191MOC,13,8/2/2022,,1997,,,1,5,Cuba,North America,,,NonFiction,1
"Storace, Patricia",Sugar Cane : a Caribbean Rapunzel /,J 398.20972 C191STS,29,8/2/2022,,2007,,,,,Caribbean,North America,Grimm,,NonFiction,1
"Gerson, Mary-Joan",People of corn : a Mayan story /,J 398.20972 G932GEP,33,10/4/2022,x,1995,x,x,,5,Mayan,Central America,,,NonFiction,1
,Horse hooves and chicken feet : Mexican folktales /,J 398.20972 M574HO,32,8/2/2022,,2003,,,4,4,Mexico,Central America,,,NonFiction,1
"Peterson, Megan Cooley",La Llorona : the legendary weeping woman of Mexico /,J 398.20972 M574pel 2020,2,8/2/2022,,2020,,,1,1,Mexico,Central America,,,NonFiction,1
"Tonatiuh, Duncan",Feathered serpent and the five suns : a Mesoamerican creation myth /,J 398.20972 M574tof 2020,3,7/13/2023,,2020,,x,4,5,Mexico,Central America,,,NonFiction,1
"BelpreÃÅ, Pura",Once in Puerto Rico /,J 398.20972 P962BEO,12,4/29/2023,,1973,,x,2,5,Puerto Rico,North America,,,NonFiction,1
"Montes, Marisa",Juan Bobo goes to work : a Puerto Rican folktale /,J 398.20972 P962MOJ,19,8/2/2022,,2000,,x,1,5,Puerto Rico,North America,,Belpre,NonFiction,1
"Bryan, Ashley",Turtle knows your name /,J 398.20972 W52BRT,18,8/2/2022,,1989,,,1,5,West Indies,Oceana,,,NonFiction,1
"Finger, Charles Joseph, 1869-1941",Tales from silver lands /,J 398.2098 SO87FIT,33,6/13/2023,x,1924,,,,1,South America,South America,,Newbery,NonFiction,1
"Maggi, MariÃÅa Elena",The great canoe : a KarinÃÅa legend /,J 398.2098 SO87MAG,13,8/2/2022,,2001,,x,4,5,Venezuela,South America,,,NonFiction,1
"Hickox, Rebecca",Zorro and Quwi /,J 398.20985 P435HIZ,11,1/21/2023,,1997,,,3,1,Peru,South America,,,NonFiction,1
"Czernecki, Stefan",The singing snake /,J 398.20994 AU78CZS,23,8/2/2022,,1993,,,1,1,Australia,Australia,,,NonFiction,1
"Marshall, James Vance, 1924-",Stories from the Billabong /,J 398.20994 AU78MAS,23,1/4/2023,,2008,,,3,3,Australia,Australia,,,NonFiction,1
"Wolkstein, Diane",Sun Mother wakes the world : an Australian creation story /,J 398.20994 AU78WOS,36,11/19/2022,,2004,,,3,3,Australia,Australia,,,NonFiction,1
"Erickson, Marty",Mermaids /,J 398.21 Er44m 2022,5,7/15/2023,,2022,,,,,European,Europe,,,NonFiction,
"Erickson, Marty",Trolls /,J 398.21 Er44t 2022,1,7/26/2022,,2022,,,,,European,Europe,,,NonFiction,
"Gagliardi, Sue, 1969-",Gnomes /,J 398.21 G121g 2022,2,8/30/2022,,2022,,,,,European,Europe,,,NonFiction,
"San Souci, Robert D.","Cut from the same cloth : American women of myth, legend, and tall tale /",J 398.21 Sa54c 1993,0,11/4/2022,,1993,,,,,American,World,,,NonFiction,
"Donkin, Andrew",Atlantis : the lost city? /,J 398.234 D718A,34,7/19/2023,,2000,,,,,European,Europe,,,NonFiction,
"Karst, Ken",Atlantis /,J 398.234 K149A,4,7/10/2023,,2015,,,,,European,Europe,,,NonFiction,
"Polinsky, Paige V.",Atlantis /,J 398.234 P759a 2020,4,8/14/2023,,2020,,,,,European,Europe,,,NonFiction,
"Troupe, Thomas Kingsley",The legend of Atlantis /,J 398.234 T757L,16,8/21/2023,,2012,,,,,European,Europe,,,NonFiction,
"Drimmer, Stephanie Warren",Mythical beasts : 100 fun facts about real animals and the myths they inspire /,J 398.2454 D832m 2022,2,8/3/2023,,2022,,,,,World,World,,,NonFiction,
"Erickson, Marty",Dragons /,J 398.2454 Er44d 2022,6,11/25/2022,,2022,,,,,European,Europe,,,NonFiction,
"Erickson, Marty",Unicorns /,J 398.2454 Er44u 2022,10,7/24/2023,,2022,,,,,European,Europe,,,NonFiction,
"Huddleston, Emma",Werewolves /,J 398.2454 H866w 2022,4,11/15/2022,,2022,,,,,European,Europe,,,NonFiction,
"Loh-Hagan, Virginia",Discover unicorns /,J 398.2454 L83u 2023,1,8/8/2023,,2023,,,,,European,Europe,,,NonFiction,
"Fowler, Zinita","Ghost stories of Old Texas, II /",J 398.25 F829G,16,8/2/2022,,1992,,,,,Racism,World,,,NonFiction,
"Peterson, Megan Cooley",The Flying Dutchman : the doomed ghost ship /,J 398.25 P442f 2020,1,8/2/2022,,2020,,,,,Netherlands,Europe,,,NonFiction,
"San Souci, Robert D",More short & shivery : thirty terrifying tales /,J 398.25 Sa54m 1994,0,11/4/2022,,1994,,,,,?,,,,NonFiction,
,Scared witless : thirteen eerie tales to tell /,J 398.25 SCA72H,22,8/2/2022,,2006,,,,,?,,,,NonFiction,
"Schwartz, Alvin, 1927-1992",Scary stories to tell in the dark : collected from folklore /,J 398.25 Sch95s 2010,23,11/8/2022,,2010,,,,,?,,,,NonFiction,
"Schwartz, Alvin, 1927-1992",Scary stories to tell in the dark /,J 398.25 Sch95s 2017,1,7/19/2023,,2017,,,,,?,,,,NonFiction,
"Schwartz, Alvin, 1927-1992",Scary stories 3 : more tales to chill your bones /,J 398.25 Sch95ss3 2011,0,12/15/2022,,2011,,,,,?,,,,NonFiction,
"Schwartz, Alvin, 1927-1992",Scary stories 3 : more tales to chill your bones /,J 398.25 Sch95ss3 2011,26,11/10/2022,,2011,,,,,?,,,,NonFiction,
"Erickson, Marty",Zombies /,J 398.45 Er44z 2022,5,11/15/2022,,2022,,,,,American,North America,,,NonFiction,
,The Charles Addams Mother Goose /,J 398.8 CH38MG,24,11/3/2022,,2002,,,,,European,Europe,,,NonFiction,
,I saw Esau : the schoolchild's pocket book /,J 398.8 I1o 2012,8,7/6/2023,,2012,,,,,?,,,,NonFiction,
"By Aardema, Verna",Why mosquitoes buzz in people's ears : a West African tale (1975),E AARDE,,,,1975,,,,,West Africa,Africa,,Caldecott,Fiction,1
"By Grifalconi, Ann",The village of round and square houses (1986),E GRIFA,,,,1986,,,,,West Africa,Africa,,Caldecott,Fiction,1
"By McDermott, Gerald",Anansi the spider : a tale from the Ashanti (1972),E MCDER,,,,1972,,,,,Ghana,Africa,,Caldecott,Fiction,1
"By McDermott, Gerald",Zomo the Rabbit : a trickster tale from West Africa (1992),E MCDER,,,,1992,,,,,Nigeria,Africa,,,Fiction,1
"By Kurtz, Jane","In the small, small night (2005)",E KURTZ,,,,2005,,,,,Ghana,Africa,listed,,Fiction,1
"By McDermott, Gerald",Monkey : a trickster tale from India (2011),E MCDER,,,,2011,,,,,India,Asia,,,Fiction,1
"By Thong, Roseanne",The wishing tree (2004),E THONG,,,,2004,,,,,China,Asia,,,Fiction,1
"By Wang, Gabrielle",The race for the Chinese zodiac (2013),E WANG,,,,2013,,,,,China,Asia,,,Fiction,1
"By A¥lvarez Herna¥ndez, David Daniel",Ancient night (2023),E ALVAR,,,,2023,,,,,Mexico,Central America,,,Fiction,1
"By Keats, Ezra Jack",John Henry : an American legend (1987),E KEATS,,,,1987,,,,,African American,North America,,,Fiction,1
"By Lumbard, Alexis York",Pine and the winter sparrow (2015),E LUMBA,,,,2015,,,,,Native American,North America,,,Fiction,1
"By McDermott, Gerald",Pig-Boy : a trickster tale from Hawai?i (2009),E MCDER,,,,2009,,,,,American,Oceania,,,Fiction,1
"By Choi, Eun-Mi","Where are you, sun bear (2015)",E CHOI,,,,2015,,,,,Malaysia,Oceania,,,Fiction,1
"By Bunting, Eve",Finn McCool and the great fish (2010),E BUNTI,,,,2010,,,,,European,Europe,,,Fiction,
"By Elya, Susan Middleton",Little Roja Riding Hood (2014),E ELYA,,,,2014,,,,,Germany,Europe,,Belpre,Fiction,
"By Galdone, Paul",Henny Penny†(1968),E GALDO,,,,1968,,,,2,Germany,Europe,Grimm,,Fiction,
"By Galdone, Paul",Jack and the beanstalk†(1974),E GALDO,,,,1974,,,,,England,Europe,,,Fiction,
"By Galdone, Paul",Little Red Riding Hood : adapted from the retelling by the Brothers Grimm (2012),E GALDO,,,,2012,,,,,Germany,Europe,Grimm,,Fiction,
"By Galdone, Paul",Rumpelstiltskin (1985),E GALDO,,,,1985,,,,,Germany,Europe,Grimm,,Fiction,
"By Galdone, Paul",The teeny-tiny woman : a folk tale classic (2016),E GALDO,,,,2016,,,,,Norway,Europe,HC Anderson,,Fiction,
"By Galdone, Paul",The three little pigs (1970),E GALDO,,,,1970,,,,,Britain,Europe,,,Fiction,
"By Galdone, Paul",The three bears†(1972),E GALDO,,,,1972,,,,,Britain,Europe,,,Fiction,
"By Spirin, Gennady",Little Red Riding Hood (2010),E GRIMM,,,,2010,,,,,Germany,Europe,Grimm,,Fiction,
"By Karlin, Barbara",James Marshall's Cinderella (2001),E KARLI,,,,2001,,,,,France,Europe,,,Fiction,
"By Kellogg, Steven",Jack and the beanstalk (1991),E KELLO,,,,1991,,,,,Britain,Europe,,,Fiction,
"By Marshall, James",Goldilocks and the three bears (1988),E MARSH,,,,1988,,,,,Britain,Europe,,Caldecott,Fiction,
"By Marshall, James",Hansel and Gretel (1990),E MARSH,,,,1990,,,,1,Germany,Europe,Grimm,,Fiction,
"By Marshall, James",Red Riding Hood (1987),E MARSH,,,,1987,,,,,Germany,Europe,Grimm,,Fiction,
"By Perrault, Charles","Cinderella, or, The little glass slipper (1954)",E PERRA,,,,1954,,,,,France,Europe,Grimm,Caldecott,Fiction,
"By Perrault, Charles",Puss in boots (1990),E PERRA,,,,1990,,x,,5,Germany,Europe,,Caldecott,Fiction,
"By Pinkney, Jerry",Puss in Boots (2012),E PINKN,,,,2012,,,,5,Germany,Europe,Grimm,,Fiction,
"By Pinkney, Jerry",The grasshopper & the ants (2015),E PINKN,,,,2015,,,,,European,Europe,Aesop,,Fiction,
"By Pinkney, Jerry",The lion & the mouse†(2009),E PINKN,,,,2009,,,,,European,Europe,Aesop,Caldecott,Fiction,
"By Pinkney, Jerry",The three billy goats gruff (2017),E PINKN,,,,2017,,,,,Norway,Europe,,,Fiction,
"By Pinkney, Jerry",The tortoise & the hare†(2013),E PINKN,,,,2013,,x,,5,European,Europe,Aesop,,Fiction,
"By Rylant, Cynthia",Beauty and the Beast (2017),E RYLAN,,,,2017,,,,,France,Europe,,,Fiction,
"By Sage, Alison",Sleeping Beauty (2015),E SAGE,,,,2015,,,,,Germany,Europe,Grimm,,Fiction,
"By Ward, Helen",The hare and the tortoise : a fable from Aesop (1999),E WARD,,,,1999,,,,,European,Europe,Aesop,,Fiction,
"By Watts, Bernadette",The tortoise and the hare : an Aesop fable (2015),E WATTS,,,,2015,,,,,European,Europe,Aesop,,Fiction,
"By Young, H. Edwin",Seven blind mice (1992),E YOUNG,,,,1992,,,,,Britain,Europe,,Caldecott,Fiction,
"By Zemach, Margot",It could always be worse : a Yiddish folk tale (1976),E ZEMAC,,,,1976,,,,,Jewish,Jewish,,Caldecott,Fiction,1
"By Aylesworth, Jim",The gingerbread man (2017),E AYLES,,,,2017,,,,,American,North America,,,Fiction,
"By Galdone, Paul",The elves and the shoemaker (1984),E GALDO,,,,1984,,,,,European,North America,,,Fiction,
"By Galdone, Paul",The gingerbread boy (1975),E GALDO,,,,1975,,,,,American,North America,,,Fiction,
"By Robbins, Ruth",Baboushka and the three kings (1960),E ROBBI,,,,1960,,,,,Russia,Russia,,Caldecott,Fiction,
"By Galdone, Paul",The town mouse and the country mouse†(2012),E GALDO,,,,2012,,,,,,,,,,
