"Tingle, Tim",Title,Call_Number,Cumu_Circ,Last_Circ_Date,Weed,Date,weed_for_condition,Author_Cultural_Identity,BH_Source_Note_Score,Tier_Score,Country,Region,Source,Award,Fiction_NonFiction,Explore
"Seraphini, Temisa",The secret lives of unicorns /,J 398.209 Se65s 2019,26,8/18/2023,,2019,,,,,European,Europe,,,NonFiction,
"Shannon, George, 1952-",More stories to solve : fifteen folktales from around the world /,J 398.209 SH19M,41,3/28/2023,,1991,,,,,World,North America,,,NonFiction,
"Shannon, George, 1952-",Stories to solve : folktales from around the world /,J 398.209 SH19S,21,3/28/2023,,1985,,,2,2,World,World,,,NonFiction,
"Steig, Jeanne",A handful of beans : six fairy tales /,J 398.209 St33h 2016,4,1/13/2022,,2016,,,,,European,Europe,,,NonFiction,
"Tchana, Katrin",Changing Woman and her sisters : stories of Goddesses from around the world /,J 398.209 T219C,19,9/9/2020,x,2006,x,,,2,World,World,,,NonFiction,
"Tchana, Katrin",The serpent slayer : and other stories of strong women /,J 398.209 T219S,46,6/12/2023,,2000,,,2,2,World,World,,,NonFiction,
"Thong, Roseanne",Wish : wishing traditions around the world /,J 398.209 T388W,21,3/21/2022,,2008,,,n/a,2,World,World,,,NonFiction,
"Tym, Kate",Princess stories from around the world /,J 398.209 T976P,30,8/15/2023,,2007,x,,,2,World,World,,,NonFiction,
"Uribe, Verónica",Little book of fables /,J 398.209 UR3L,35,8/16/2023,,2004,,,,,European,Europe,Aesop,,NonFiction,
"Walker, Richard",The barefoot book of trickster tales /,J 398.209 W153B,22,7/9/2023,,1998,,,,,World,North America,,,NonFiction,
"Walker, Paul Robert",Little folk : stories from around the world /,J 398.209 W153L,54,7/9/2023,,1997,,,,,World,World,,,NonFiction,
"Yolen, Jane",Not one damsel in distress : world folktales for strong girls /,J 398.209 Y78N,37,45168,,,,,2,2,World,World,,,NonFiction,
"Crossley-Holland, Kevin",Arthur the always king /,J 398.2094 En34cro 2021,0,4/25/2023,,2021,,,,,United Kingdom,Europe,,,NonFiction,
"Osborne, Mary Pope",Favorite medieval tales /,J 398.2094 EU74OSF,51,2/13/2023,,1998,,,,,United Kingdom,Europe,,,NonFiction,
"Brown, Marcia",Dick Whittington and his cat /,J 398.20941 G798BRD,23,3/13/2023,,1950,,,,,Germany,Europe,,Caldecott,NonFiction,
"Crossley-Holland, Kevin",British folk tales : new versions /,J 398.20941 G798CRB,30,4/2/2022,,1987,,,,,United Kingdom,Europe,,,NonFiction,
"Crossley-Holland, Kevin",Between worlds : folktales of Britain & Ireland /,J 398.20941 G798crbw 2019,3,4/29/2022,,2019,,,,,United Kingdom,Europe,,,NonFiction,
"Hodges, Margaret, 1911-2005",Saint Patrick and the peddler /,J 398.20941 IR2HOS,33,9/12/2022,,1993,,,,,Ireland,Europe,,,NonFiction,
"Leavy, Una",Irish fairy tales and legends /,J 398.20941 IR2LEI,52,3/29/2023,,1996,,,,,Ireland,Europe,,,NonFiction,
"MacGill-Callahan, Sheila",The last snake in Ireland : a story about St. Patrick /,J 398.20941 IR2MAGL,41,3/20/2023,,1999,,,,,Ireland,Europe,,,NonFiction,
"Milligan, Bryce, 1953-",The Prince of Ireland and the three magic stallions /,J 398.20941 IR2MIP,25,5/3/2022,,2003,,,,,Ireland,Europe,,,NonFiction,
"San Souci, Robert D",Brave Margaret : an Irish adventure /,J 398.20941 IR2SAB,49,6/9/2023,,1999,,,,,Ireland,Europe,,,NonFiction,
"Souhami, Jessica",Mrs. McCool and the giant Cuhullin : an Irish tale /,J 398.20941 IR2SOM,32,5/30/2023,,2002,,,,,Ireland,Europe,,,NonFiction,
"Tegen, Katherine Brown",The story of the Jack O'Lantern /,J 398.20941 IR2TES,12,5/27/2023,,2010,,,,,Ireland,Europe,,,NonFiction,
"Breslin, Theresa",An illustrated treasury of Scottish castle legends /,J 398.20941 Sco83bri 2019,20,23-Aug,,2019,,,,,United Kingdom,Europe,,,NonFiction,
"Yolen, Jane",Tam Lin : an old ballad /,J 398.20941 SCO83YOT,26,11/4/2020,,1990,,,,,Ireland,Europe,,,NonFiction,
"Beneduce, Ann Keay",Jack and the beanstalk /,J 398.20942 EN34BEJ,42,2/28/2023,,1999,,,,,United Kingdom,Europe,,,NonFiction,
"Creswick, Paul, 1866-1947",Robin Hood /,J 398.20942 En34crer 1984,11,4/23/2023,,1984,,,,,United Kingdom,Europe,,,NonFiction,
"Early, Margaret, 1951-",Robin Hood /,J 398.20942 EN34EAR,29,8/15/2023,,1996,,,,,United Kingdom,Europe,,,NonFiction,
"Green, Roger Lancelyn",King Arthur and his knights of the Round Table /,J 398.20942 EN34GRK,43,9/1/2022,,2008,,,,,United Kingdom,Europe,,,NonFiction,
"Hodges, Margaret, 1911-2005",Merlin and the making of the king /,J 398.20942 EN34HOMM,27,8/26/2022,,2004,,,,,United Kingdom,Europe,,,NonFiction,
"Hodges, Margaret, 1911-2005",Saint George and the dragon : a golden legend /,J 398.20942 En34hos 1984,35,4/11/2023,,1984,,,,,United Kingdom,Europe,,Caldecot,NonFiction,
"Huck, Charlotte S.",Princess Furball /,J 398.20942 EN34HUP,18,2/26/2021,,1989,x,,,,United Kingdom,Europe,,,NonFiction,
"Jacobs, Joseph, 1854-1916",Tattercoats /,J 398.20942 EN34JAT,16,11/23/2021,,1989,,,,,United Kingdom,Europe,,,NonFiction,
"Kellogg, Steven",The three sillies /,J 398.20942 EN34KET,21,1/25/2023,,1999,,,,,United Kingdom,Europe,,,NonFiction,
"Kimmel, Eric A.",The hero Beowulf /,J 398.20942 EN34KIH,44,3/13/2023,,2005,,,,,United Kingdom,Europe,,,NonFiction,
"Lanier, Sidney, 1842-1881",King Arthur : Sir Thomas Malory's history of King Arthur and his Knights of the Round Table /,J 398.20942 En34lak 2018,13,8/15/2022,,2018,,,,,United Kingdom,Europe,,,NonFiction,
"Lanier, Sidney, 1842-1881",King Arthur : Sir Thomas Malory's history of King Arthur and his Knights of the Round Table /,J 398.20942 En34lak 2018,15,9/15/2023,,2018,,,,,European,Europe,,,NonFiction,
"Mayer, Marianna",The adventures of Tom Thumb /,J 398.20942 EN34MAYA,31,5/15/2023,,2001,,,,,United Kingdom,Europe,,,NonFiction,
"McCaughrean, Geraldine",Saint George and the dragon /,J 398.20942 EN34MCCS,57,5/8/2023,,1989,,,,,United Kingdom,Europe,,,NonFiction,
"Morpurgo, Michael",Sir Gawain and the Green Knight /,J 398.20942 EN34MORS,46,10/6/2022,,2004,,,,,United Kingdom,Europe,,,NonFiction,
"Nesbit, E. 1858-1924",Jack and the beanstalk /,J 398.20942 EN34NEJ,48,5/4/2023,,2006,,,,,United Kingdom,Europe,,,NonFiction,
"Osborne, Mary Pope",Kate and the beanstalk /,J 398.20942 EN34OSK,35,4/8/2023,,2000,,,,,United Kingdom,Europe,,,NonFiction,
"Pyle, Howard, 1853-1911",The story of the Grail and the passing of Arthur /,J 398.20942 EN34PYS,20,4/8/2023,,1985,,,,,United Kingdom,Europe,,,NonFiction,
"San Souci, Robert D.",Robin Hood and the golden arrow : based on the traditional English ballad /,J 398.20942 EN34SANR,25,4/25/2023,,2010,,,,,United Kingdom,Europe,,,NonFiction,
"Walker, Richard, 1943-1999",Jack and the beanstalk /,J 398.20942 EN34WALJ,61,5/12/2023,,1999,,,,,United Kingdom,Europe,,,NonFiction,
